name,category,latitude,longitude,distance_from_center_km
Parfums et Senteurs du Pays Basque,shop,48.8556946,2.36667,0.12061551314293982
Galerie de Medicis,shop,48.855635,2.3666419,0.11516813955175047
Le XVI,tourism,48.8554936,2.3665936,0.10416290137451488
Espace Sylvia Rielle,tourism,48.8549856,2.3664009,0.07900735696447854
Amin Kader,shop,48.8550593,2.3664283,0.08051973664529699
La Place Royale,amenity,48.8548999,2.3654699,0.021045013667746193
Bernard Cointreau,amenity,48.8554424,2.3643795,0.0814448181064143
Pourchet,shop,48.8555345,2.3644252,0.08449613132800479
Galerie Ph Magmoire,shop,48.8556582,2.3644713,0.0912437759928677
Cécile & Jeanne,shop,48.8557242,2.3644933,0.09563326321154467
le marché d'à côté,shop,48.8563773,2.3641065,0.17133887471559126
Cabirol,shop,48.8563372,2.3640792,0.16864131296444554
Bobbi Brown,shop,48.8564502,2.3641318,0.17736347016974588
Acqua di Parma,shop,48.856628,2.3639714,0.20037110719709691
Caudalie,shop,48.8566884,2.3637769,0.21349457150680992
d'Orsay,shop,48.8564794,2.3640381,0.18364633315720322
SkinCeuticals,shop,48.8566297,2.363523,0.21877711869333202
Yellow Corner,shop,48.8568661,2.3637638,0.23091907109636156
Jimmy Fairly,shop,48.8565885,2.3641096,0.19162561635185782
Le Studio des Parfums,shop,48.8565591,2.363774,0.201606324505981
Telle Mère telle Fille,shop,48.8565756,2.3637345,0.20476534371021088
Camper,shop,48.8565877,2.3636699,0.20860464485242816
Sakaré,shop,48.856495,2.3639806,0.18733143990681483
Majestic Filatures,shop,48.8565428,2.3638455,0.1971666915656667
Home,shop,48.8567743,2.3634933,0.23302248488489993
Guerlain,shop,48.8568329,2.3633596,0.24405179436252913
American Vintage,shop,48.8568654,2.3632513,0.251709671461455
Swatch,shop,48.8567074,2.363266,0.2372856950752493
% Arabica,amenity,48.8567362,2.3631787,0.24385862665829666
L'Artisan Parfumeur,shop,48.8567562,2.3631182,0.24843633480053498
Cécile Jeanne,shop,48.8569027,2.3630503,0.2641123583752937
Byredo,shop,48.8567788,2.3630213,0.2550136774436409
Aesop,shop,48.8568744,2.3631659,0.25634275883651364
Maje,shop,48.8569234,2.3629948,0.2684793450695075
Nina Jacob,shop,48.856929,2.3624996,0.29346138693142854
Ekyog,shop,48.8568667,2.3626994,0.27824115639117425
Satellite,shop,48.8568961,2.3626271,0.28428151377428607
Aventure,shop,48.857429,2.3614699,0.3864801988689963
Nespresso,shop,48.857301,2.3614179,0.3798210330398701
Princesse tam.tam,shop,48.8573609,2.3612704,0.39236951466786685
La Chaise Longue,shop,48.8574497,2.3614203,0.39071492414454
Pandora,shop,48.8574716,2.3613639,0.39540882174566533
Ba&sh,shop,48.8575105,2.3612747,0.4031573385250643
Jonak,shop,48.8575593,2.3611543,0.4133452762686462
Crèche Collective,amenity,48.8576608,2.3609703,0.4309309425241098
Aubade,shop,48.8575793,2.3606653,0.44201519459008964
Gérard Darel,shop,48.8579302,2.3599733,0.506031985572493
Claudie Pierlot,shop,48.8581991,2.3598364,0.532930681728081
Le Voltigeur,amenity,48.8582179,2.3593845,0.5597481385587628
Sessùn,shop,48.8581817,2.3594954,0.5508861903574667
Zapa,shop,48.8582122,2.3594424,0.5560430907587829
Esteban,shop,48.8582676,2.3597708,0.541560008601426
Muji,shop,48.8582221,2.3589918,0.5827742422572423
Sandro,shop,48.8585167,2.3587936,0.6143629982542377
Zadig & Voltaire,shop,48.8586947,2.3589293,0.6193321893878152
Salomon,shop,48.858829,2.35882,0.6351772928781881
Amorino,amenity,48.8563154,2.3646381,0.14800840923543498
Hôtel Pavillon de la reine,tourism,48.8564346,2.3661288,0.16311880875892326
Courrèges,shop,48.8572232,2.3616056,0.3637531441401368
Mai Thai,amenity,48.8581066,2.3653667,0.3382015711301652
Crèche Charlemagne,amenity,48.8540002,2.3615994,0.2983762391987889
Pharmacie Beaumarchais,amenity,48.8594971,2.367318,0.513939618996945
bastille market,shop,48.854639,2.3685064,0.23779487693343299
LCL,amenity,48.8577128,2.3677538,0.3439140417607915
Poké Parisien,amenity,48.8551162,2.368934,0.2644547135186601
Plaisir d'équiThé,amenity,48.854964,2.3689756,0.2676858619293513
Le Génie,amenity,48.8545373,2.3690802,0.2813255092783615
La Pizza de Nico,amenity,48.8539102,2.3699317,0.3612332271838552
Pharmacie Belda,amenity,48.8569157,2.368539,0.3126501144437596
Loops,shop,48.8560242,2.3687411,0.2720016918538041
McDonald's,amenity,48.8540476,2.3699964,0.36058964192373344
Pharmacie Opéra-Bastille,amenity,48.8543674,2.3701218,0.3600322031026857
Crédit Agricole,amenity,48.854765,2.3703199,0.36762056320908887
