name,category,latitude,longitude,distance_from_center_km
,amenity,55.6808127,12.58029,0.5579441892117234
,amenity,55.6806441,12.579189,0.4911485060169951
,amenity,55.6811885,12.5794089,0.5408403256071038
,amenity,55.6808687,12.5800204,0.5478838313301809
,amenity,55.6806072,12.5723378,0.3021064104265958
,amenity,55.6805346,12.572531,0.2925256147592887
Viking City Cykler,shop,55.6770613,12.5670518,0.38897477111135137
,amenity,55.6801943,12.5723405,0.2566946150269051
,amenity,55.6756724,12.567019,0.45437408386617156
,amenity,55.6805195,12.5718309,0.298959302797406
,amenity,55.6788174,12.5673986,0.3688175953237398
,amenity,55.6793732,12.5697509,0.2626210180894288
,amenity,55.6790533,12.5685439,0.3097778551803941
,amenity,55.6793263,12.5684714,0.32731811173801867
,amenity,55.6793444,12.5696234,0.26708073356517
,amenity,55.6784779,12.5690843,0.25662248429864787
,amenity,55.6786231,12.5694357,0.23997717852609066
,amenity,55.6781452,12.568159,0.3082849290544592
,amenity,55.6738055,12.5737822,0.4607969247273982
,amenity,55.674789,12.576335,0.4057640222058203
,amenity,55.6752244,12.5758762,0.349345047784765
,amenity,55.6760947,12.5735978,0.20654186316665982
,amenity,55.6761635,12.573482,0.19784969364640595
,amenity,55.6760584,12.5736541,0.2111419550775008
,amenity,55.676191,12.573174,0.1930305315424611
,amenity,55.6760426,12.5709693,0.2467168730209345
,amenity,55.6763871,12.5713378,0.20190455018018333
,amenity,55.6772146,12.5712281,0.13881351501660769
,amenity,55.6773402,12.5709517,0.14674029571907257
,amenity,55.677036,12.575634,0.19056425281029152
,amenity,55.677163,12.575301,0.16532402896802229
,amenity,55.678323,12.574072,0.0785304326388359
,amenity,55.67753,12.576126,0.19879679803894615
Cykelsmeden i Nørregade,shop,55.6817744,12.571229,0.4437122632802574
H.C. Andersen,tourism,55.6753143,12.5691198,0.38119276421245507
Frisør Biba,shop,55.6773501,12.5752501,0.15277578185532986
Café Sorgenfri,amenity,55.6777181,12.5747112,0.10736648777160593
MIPEcph,shop,55.677852,12.574298,0.07931234124623061
Lego,shop,55.6785109,12.575954,0.19443431808380798
Skaal,amenity,55.682326,12.573648,0.4916624677528687
Phønix,amenity,55.6823983,12.5736627,0.49975955667968963
Fjällräven,shop,55.6820992,12.5737561,0.4670945952542076
Silvan Kultorvet,shop,55.6821539,12.5744011,0.4787077413451867
Ducky Memories,shop,55.6819691,12.5744357,0.45888799414980913
Louis Nielsen,shop,55.681891,12.574813,0.45556620371874973
Espresso House Købmagergade,amenity,55.6814268,12.5749793,0.4086416589156114
Optikkens Hus,shop,55.681582,12.575108,0.427556289914623
Sporvejen,amenity,55.679453,12.575676,0.23755796382882866
Gråbrødretorv 7,shop,55.679758,12.576202,0.2849713445456911
Guldsmedie Sofie Lunøe,shop,55.679813,12.576293,0.29335234848345243
Britt-K,shop,55.6797082,12.577476,0.34241288705353906
Jo Coiffure,shop,55.6797461,12.5775457,0.3484336446309115
Søren Hauch,shop,55.6797899,12.5776128,0.35470836133041067
Gudlins,shop,55.6796266,12.5773446,0.3304189379806366
By Pilo,shop,55.6790988,12.577932,0.33422247217010437
Ivan Grundahl,shop,55.6789899,12.5780178,0.3347044406834281
Julie Sandlau,shop,55.6789183,12.5780743,0.33531253441495945
Nørgaard på Strøget,shop,55.6786057,12.5780406,0.3234151151408281
Café Camino,amenity,55.6767826,12.575788,0.21432682057574695
,amenity,55.6823041,12.5738919,0.49066244460039554
Lån & Spar Bank,amenity,55.6784416,12.5802302,0.45577988548108456
Ecco,shop,55.6790566,12.5808629,0.5078376439884463
Home,shop,55.6783155,12.5802667,0.4565019416186694
Emquies & Holstein,shop,55.678271,12.580495,0.4703669879455389
,amenity,55.6777738,12.5803006,0.45684640000059906
United Colors of Benetton,shop,55.6790087,12.5794264,0.4193337618091678
Wolford,shop,55.6789413,12.5799978,0.4519334861946488
Money Exchange,amenity,55.6789295,12.5801334,0.4598745910913735
Edith & Ella,shop,55.679335,12.579217,0.4189686389316395
Stuhr,shop,55.679417,12.5792708,0.4255914898487353
Nilson Shoes,shop,55.6794812,12.5792266,0.42589392769501744
Abercrombie & Fitch,shop,55.6797308,12.5790549,0.42838245440993944
Synoptik,shop,55.679814,12.579294,0.4460135990513713
Jackpot,shop,55.6797822,12.5790161,0.4289607443741844
Carlings,shop,55.6801,12.579077,0.45033121911856927
Labfresh,shop,55.680278,12.578881,0.4512076920871495
Nu by Staff-woman,shop,55.680342,12.578734,0.44796075784194017
P. Hertz,shop,55.6804499,12.5786459,0.4509388166237732
Frellsens chokolade,shop,55.6803304,12.5783803,0.4295806552718354
,amenity,55.680207,12.578298,0.41703098014086876
Carla F,shop,55.6801875,12.5786137,0.43167066310043783
Bianco Footwear,shop,55.6801402,12.5786412,0.43003215133074413
Gina Tricot,shop,55.6799561,12.5788712,0.4308472762254802
Dr. Martens,shop,55.6798434,12.5789745,0.43001669326872366
United Colors of Benetton,shop,55.679998,12.579153,0.448414149420284
David Andersen,shop,55.6783036,12.5784015,0.33971769708838684
Wettergren & Wettergren,shop,55.678165,12.578622,0.3519707707893561
Strædets Guld & Sølv,shop,55.6784047,12.5786588,0.35729826312963975
Georg Jensen,shop,55.6789985,12.5792722,0.40972100746779627
Levi's,shop,55.6786565,12.5787689,0.36931617502257885
Englebørn,shop,55.6786639,12.5792464,0.39883734215136774
Change Lingerie,shop,55.6786486,12.5791466,0.39234262450728963
Foot Locker,shop,55.6786396,12.5783938,0.34590308191136065
Scoop,shop,55.6786169,12.578151,0.33045917031447597
Jette Riis,shop,55.678567,12.577804,0.3079358282369391
dji,shop,55.6787501,12.5776106,0.30169972150214597
H&M,shop,55.6783438,12.5775234,0.2856895916216362
GANT,shop,55.678834,12.578169,0.33800818640344665
Graff,shop,55.6786283,12.5782798,0.3386348175266452
,shop,55.6788529,12.5783093,0.3470596893289151
Telia,shop,55.6788657,12.5784125,0.3536819681226664
Illums Bolighus,shop,55.6788899,12.5785735,0.36415394890443953
byBiehl,shop,55.680691,12.5781216,0.4438554288380824
Pilgrim,shop,55.680596,12.578302,0.4449500457250168
Lululemon,shop,55.6807523,12.577915,0.4394605477475287
PeakPerformance,shop,55.6808082,12.577738,0.43633048741250513
Nike,shop,55.6808735,12.5775101,0.4322559708643771
Message,shop,55.6808998,12.5766718,0.4023965337951889
Matas,shop,55.6814736,12.5748948,0.4120847119565878
Telia København C,shop,55.681648,12.5747471,0.42832653723230224
Normal,shop,55.681773,12.5748942,0.4441498539523
Irep.dk,shop,55.6817057,12.5746764,0.4334738970547274
Miniministeriet,shop,55.6821132,12.5734652,0.46725114721161404
,shop,55.6823043,12.571119,0.5025752013987512
Absalon,tourism,55.6779686,12.5799758,0.43613827696945706
Kolonihaven,shop,55.6787377,12.5733692,0.0929677723469156
Guldsmed Jens Dam,shop,55.677789,12.566674,0.40099484661791873
Studio 35,shop,55.678119,12.56848,0.28792478451977493
Masken Bar,amenity,55.6781756,12.5686176,0.2798560972153049
The Log Lady,amenity,55.6783036,12.568967,0.2599338557362424
Mette Saabye,shop,55.6783416,12.5690773,0.25383222903446623
The Living Room,amenity,55.6785517,12.5691035,0.25755993597460863
Atlas Bar,amenity,55.6786141,12.5693401,0.24535728648830826
Wardrobe 19,shop,55.6787073,12.5689525,0.2717737486727926
Project 4,shop,55.6786126,12.5690368,0.2634951737121208
Tracks,shop,55.6789662,12.568983,0.2806067896697586
Oxum,shop,55.6789717,12.5686475,0.30018572865839266
Brillebutikken,shop,55.6791671,12.5688184,0.29972065621689314
Niels & Klaus,shop,55.6788207,12.5680245,0.33118524201947525
Din Nye Ven,amenity,55.678834,12.567288,0.3760159760982273
Troelstrup,shop,55.6785234,12.5665532,0.41374420476468216
My Design,shop,55.6786106,12.566949,0.3909755671570618
Silver Winther,shop,55.6786411,12.5671016,0.3822612662866373
Sögreni Of Copenhagen,shop,55.6788876,12.5675866,0.3596987451528064
Delikatessen,shop,55.678786,12.5678287,0.34184357160378553
Grace Tours,shop,55.678895,12.567717,0.352130078067918
Dimidi,shop,55.678966,12.568045,0.3352091981434985
Dojo,shop,55.6793483,12.5694449,0.27645631470529863
Karl Kicks,shop,55.678413,12.569277,0.2431517473355392
Jeans Store,shop,55.678397,12.569556,0.22565815447953017
Son Factory Printing Studio,shop,55.6779635,12.5697518,0.2071377862397936
LAB,shop,55.6778147,12.5703419,0.17039468716779624
Prag Secondhand,shop,55.6778792,12.5704971,0.16027695307185744
Det Ukendtes,shop,55.6780192,12.5708301,0.13966214594704582
Cafe Gl. Torv,amenity,55.6780117,12.5714461,0.10098151923266188
Halo,shop,55.678515,12.576571,0.2314845094478292
Weekday,shop,55.678502,12.576426,0.22233120444967783
Zara,shop,55.678707,12.575722,0.18975471206516428
Sportmaster,shop,55.6785382,12.5757544,0.18376937912678315
Message,shop,55.678703,12.575428,0.17331611958060972
ONLY,shop,55.678723,12.575151,0.15970543175789448
Havanna Shoes,shop,55.678729,12.574943,0.14942174891326163
NAME IT,shop,55.6787201,12.5744693,0.1261599152240981
Unisport,shop,55.67871,12.5743821,0.12150762298738237
Pandora,shop,55.6786964,12.5742574,0.11507172638488844
Hvelplund,shop,55.6785071,12.5744273,0.1086447287550717
Money Exchange,amenity,55.678463,12.574286,0.09859432363013858
Der gamle Apotek,shop,55.6786712,12.5741156,0.10716127657080123
Moss Copenhagen,shop,55.678375,12.574084,0.08254814868086707
Kaufmann,shop,55.6784255,12.5736138,0.06643989131794312
Pb Chokolade,shop,55.6785156,12.5736118,0.07501908849409845
MM Design,shop,55.6786819,12.5737735,0.09614441598101706
Marno Sørensen,shop,55.67869,12.573437,0.08888730930326885
Tavex,amenity,55.6787378,12.5736661,0.09878802365563237
Edmund Arnold,shop,55.67855,12.5735571,0.07689975095258314
Bianco Footwear,shop,55.6782085,12.5736474,0.04951611257096707
TDC,shop,55.6782888,12.5732268,0.04230461259366338
Lunico,shop,55.6782283,12.5730695,0.034007658621774434
Matas,shop,55.678044,12.57308,0.013642938907279323
Strøgets Ure Guld Sølv,shop,55.678145,12.5733859,0.03276482047210485
Rajissimo,shop,55.6783233,12.5733206,0.04783277590159387
Pilgrim,shop,55.6773926,12.5715923,0.10874764104149656
Royal Skin,shop,55.677558,12.571551,0.10232595998436128
New Yorker,shop,55.677379,12.571152,0.1335389597256342
Jack & Jones,shop,55.6772773,12.5709405,0.15058836681331506
Money Exchange,amenity,55.6769636,12.5702478,0.20579324132369547
Rav-specialisten,shop,55.676992,12.5703151,0.2005336234963216
Foot Locker,shop,55.6767706,12.5701742,0.2214823669152175
Hunkemöller,shop,55.6766232,12.5698876,0.24570419948620995
Vero Moda,shop,55.6766239,12.5694943,0.2660558257634868
Wonderful Souvenirs,shop,55.6765528,12.5697179,0.2589486917129448
,amenity,55.679452,12.567063,0.4129469863008
Vindrose Rejser,shop,55.6739346,12.5736739,0.4458414770929602
Rådhus Smørrebrød,amenity,55.674,12.5735253,0.4378431717671983
No,shop,55.6740581,12.5733862,0.4308639584926969
Tivoli Hallen,amenity,55.6746192,12.5730884,0.36786471438215923
Jaco Sko,shop,55.674853,12.5726306,0.3428096906482617
Funder,amenity,55.6749353,12.5724839,0.3345190806602493
Mojo Blues Bar,amenity,55.6756583,12.5735337,0.25404285265611015
Danske Special Rejser,shop,55.6757702,12.57381,0.24450744224014206
Sommerfuglen Strik,shop,55.6760304,12.574421,0.22785757524820643
Zeba,shop,55.676295,12.5743839,0.19992857046904156
Søren's Værtshus,amenity,55.6762328,12.5741939,0.20163625989492293
Restaurant Puk,amenity,55.6761458,12.5739423,0.20580702197028067
Vandkunsten Sandwich,amenity,55.6762831,12.5748189,0.21405056969129
,shop,55.675932,12.574861,0.24943994803453565
Bærbart,shop,55.6760984,12.5755727,0.2580555715650503
Knapstad,shop,55.6777771,12.576672,0.22884427340841987
Kolding,shop,55.6775489,12.5766153,0.22853076198056543
Atmosphair,shop,55.6775108,12.5764237,0.21754598990766918
Milas,shop,55.677671,12.576433,0.21507088081327402
White Stuff,shop,55.677493,12.575992,0.19157099544551498
Kirk,shop,55.6773113,12.5760389,0.20037465682244587
Fannymia,shop,55.677328,12.5756929,0.17936103110707638
Comedy Zoo,amenity,55.6770858,12.5755887,0.18528181821963186
Kila Jewels Copenhagen,shop,55.6770318,12.5754075,0.178790514664876
Dansk Håndværk,shop,55.6769922,12.5750009,0.16095557973337243
Liebe,shop,55.6768436,12.5751287,0.17791848026876167
Guldkompagniet,shop,55.6767942,12.5749875,0.17537339853310846
Blå Form,shop,55.6765473,12.5742753,0.1716704736413872
Black Atlas,shop,55.6765311,12.5746041,0.1834672691559267
Buck,shop,55.6764039,12.5744243,0.1901518295179225
Bastard Cafe,amenity,55.6764713,12.5749848,0.2025948300157172
Liljehøj,shop,55.6766671,12.5741534,0.15630902233186134
Hair by Pust,shop,55.6765022,12.5741292,0.17232056927293857
The Great Wine & Design Experience,shop,55.6765649,12.5738867,0.1602595678179671
Bravo Tours,shop,55.676139,12.572698,0.1998319403928475
Chez Elaine,shop,55.6762451,12.5712539,0.21813719258986972
