name,category,latitude,longitude,distance_from_center_km
,tourism,55.6699832,12.5806789,0.24746718258380995
,amenity,55.6700264,12.5826513,0.312593020149212
,amenity,55.6700451,12.5826823,0.31247142215265583
,tourism,55.6695134,12.5812602,0.31004519668227337
,amenity,55.6686957,12.5785868,0.3743259120053414
Løve i kamp med en slange,tourism,55.6731507,12.5723853,0.44563759158004795
Havfrue,tourism,55.6729939,12.5822784,0.22141624863385406
Rigsarkivet,amenity,55.6749503,12.582234,0.37633967649564437
Søren Kierkegaard,tourism,55.6745223,12.5809909,0.29864131501107855
Rigskansler Peder Griffenfeld,historic,55.6749671,12.5806206,0.3380377512231066
Dantesøjlen,tourism,55.6731994,12.572978,0.41160618738923915
Byfraktal,tourism,55.6724525,12.5807454,0.10807634533411711
Grubleren,tourism,55.672084,12.5712537,0.4993822482019414
,amenity,55.6701489,12.5746894,0.35291766949407216
,amenity,55.6734802,12.5815763,0.21962270940436585
,amenity,55.6732896,12.5817909,0.21475195815713036
,amenity,55.6731838,12.5819156,0.21356577880984828
,amenity,55.67345,12.5816098,0.21864334494055285
,amenity,55.6731021,12.5820095,0.21316348478647623
,amenity,55.6732178,12.5818727,0.2137050874475691
,amenity,55.6732533,12.5818311,0.21411414575573362
,amenity,55.673062,12.5820524,0.21299814558572197
Højesteret,amenity,55.6764105,12.5786468,0.4877371571370818
,amenity,55.6746068,12.5812862,0.3146897392767803
,amenity,55.6695447,12.5855696,0.48820491409774547
,leisure,55.6680328,12.5778596,0.4539866565171263
,leisure,55.6680962,12.5777324,0.44861869227882817
,amenity,55.6681818,12.5778753,0.43750491171979994
,amenity,55.6681177,12.5780174,0.4429378298793567
,amenity,55.668346,12.5772724,0.42866441554661433
,amenity,55.6686327,12.577757,0.38997896163817936
Taphouse,amenity,55.676199,12.571519,0.668806481750809
Restaurant Tårnet,amenity,55.6762303,12.5804107,0.47275436492716005
,amenity,55.6692882,12.5799674,0.31030829930261905
,amenity,55.6693069,12.5799022,0.30762824793237176
,amenity,55.6753705,12.583325,0.45291968612074096
,amenity,55.675399,12.5832006,0.4510963152659625
Lille Københavner,amenity,55.6720671,12.5737429,0.342751018705877
,amenity,55.6702253,12.5741748,0.3747370196763572
,amenity,55.6702386,12.5741511,0.3751997907724091
,amenity,55.670252,12.5741275,0.3756625098772573
,amenity,55.6707123,12.5755287,0.2737555858871797
,amenity,55.6702455,12.5832944,0.32654498338983207
,amenity,55.6701792,12.583701,0.35143305034371347
,amenity,55.6692085,12.5847501,0.4709669820971979
,amenity,55.6689441,12.5851529,0.5095261960125006
,amenity,55.6690461,12.5860177,0.5437916289953636
,amenity,55.6691005,12.5862332,0.550946515229943
,amenity,55.66975,12.5869968,0.5534639810396967
